Mode,y_true,y_false,loss,accuracy,precision,recall,fmeasure
Mixed,1044,155,0.535642512845,0.704753961933,0.26153037049,0.742470998979,0.372106758578
Focused-1,154,19,0.592776028752,0.670520233281,0.160767046789,0.506743730837,0.238108968976
Focused-2,250,13,0.254782984571,0.897338403042,0.214955643556,0.334600760456,0.254740765793
Focused-3,342,102,0.65606541784,0.545045045582,0.306789235623,0.7631917714,0.430607112276
Focused-4,278,43,0.567741662542,0.679127725857,0.199028392447,0.534994814626,0.286930110967
FT-1,145,28,0.548054953531,0.716763007158,0.332969879139,0.802504819942,0.452836137287
FT-2,244,19,0.476213270947,0.809885932012,0.210768195613,0.547528506232,0.287301003706
FT-3,353,91,0.615973264247,0.621621622159,0.308013492339,0.688116688986,0.405006523605
FT-4,276,45,0.605733562667,0.632398753894,0.20312336635,0.569678098242,0.292473858019
