Mode,y_true,y_false,loss,accuracy,precision,recall,fmeasure
Mixed,1032,167,0.601623101916,0.636363636388,0.220347208615,0.645115643963,0.316539503789
Focused-1,144,29,0.550672086677,0.734104047621,0.298444816832,0.54257269953,0.348592116826
Focused-2,251,12,0.207244765226,0.939163498099,0.0811153382856,0.121673003802,0.0973384044923
Focused-3,361,83,0.588431026485,0.704954954955,0.340907154588,0.671214082757,0.436842164478
Focused-4,275,46,0.557842510697,0.707165109034,0.272317236458,0.56537606783,0.34893695142
FT-1,146,27,0.592284762101,0.653179191785,0.271807590833,0.7122671866,0.375157498211
FT-2,255,8,0.521120736581,0.787072243573,0.0815981667305,0.486691971695,0.138185760368
FT-3,369,75,0.582851966222,0.727477477477,0.33315784464,0.657965120969,0.432465945815
FT-4,280,41,0.554322467183,0.697819314642,0.180791453038,0.371339567725,0.234963439335
