Mode,fold,y_true,y_false,loss,accuracy,precision,recall,fmeasure
Mixed-4,4,686,110,0.447995143317,0.830985916332,0.489604282547,0.474491401737,0.438412245171,0.790499822758
Focused-1,0,99,17,0.511605933822,0.775862073076,0.275862068966,0.164203615024,0.205642593318,0.619132501485
Focused-1,1,99,16,0.429668590815,0.817391306421,0.392215334851,0.42202899767,0.403056625698,0.782828282828
Focused-1,2,99,16,0.532396772633,0.869565222056,0.510144930301,0.304761911475,0.371014454054,0.705176767677
Focused-1,3,99,16,0.391627310411,0.886956519148,0.559627333931,0.46289854879,0.487462904661,0.760732323232
Focused-1,4,98,16,0.395755160273,0.877192983502,0.603508773603,0.419715965003,0.453861872355,0.776785714286
Focused-2,0,167,9,0.258931223642,0.920454545455,0.303030284968,0.181818187237,0.212121199478,0.845642049235
Focused-2,1,166,9,0.249217420646,0.914285714626,0.0914285714286,0.182857121059,0.12190474374,0.817269076305
Focused-2,2,166,9,0.220842545586,0.954285714286,0.182857121059,0.182857121059,0.18285711016,0.759036144578
Focused-2,3,166,8,0.199840779877,0.948275862069,0.183908024053,0.183908024053,0.183908013092,0.853162650602
Focused-2,4,166,8,0.259140820681,0.931034480703,0.0,0.0,0.0,0.807228915663
Focused-3,0,241,55,0.537841481131,0.787162162162,0.397039904788,0.429858438067,0.3957165383,0.679290833648
Focused-3,1,241,55,0.550208499303,0.783783783784,0.362934373521,0.327327331981,0.33291989726,0.678611844587
Focused-3,2,240,55,0.50086349653,0.772881356134,0.382986283706,0.420056501486,0.386413236796,0.731060606061
Focused-3,3,240,55,0.494075126163,0.793220339185,0.378298733598,0.43683616226,0.393814620123,0.794848484848
Focused-3,4,240,55,0.526806210966,0.769491525626,0.386892659785,0.352025835393,0.351337059474,0.701060606061
Focused-4,0,183,31,0.450420455676,0.813084111592,0.365732097041,0.442456600822,0.356434593412,0.769962982549
Focused-4,1,183,31,0.547707395019,0.79439252615,0.26323987836,0.365420562085,0.284327786102,0.64375110171
Focused-4,2,183,31,0.434211212898,0.831775700378,0.340809976108,0.238273259914,0.278634103381,0.747399964745
Focused-4,3,182,31,0.454962977641,0.835680752013,0.387323945901,0.244444447364,0.292104097459,0.745834810351
Focused-4,4,182,31,0.458623119643,0.873239438299,0.448200319854,0.388106426723,0.413503212548,0.717121588089
FT-1,0,99,17,0.45304873894,0.827586211007,0.475287363447,0.605911324764,0.479023735071,0.828282828283
FT-1,1,99,16,0.34613353636,0.904347824532,0.65797101337,0.667391304348,0.657933327944,0.872474747475
FT-1,2,99,16,0.252432732997,0.930434783645,0.715320918871,0.75734990602,0.728612788086,0.909090909091
FT-1,3,99,16,0.144655280657,0.982608695652,0.960248449574,0.944347829404,0.947677429863,0.998737373737
FT-1,4,98,16,0.175543270613,0.956140346694,0.79532163185,0.6683375208,0.721187541359,0.992346938776
FT-2,0,167,9,0.249039533463,0.926136363636,0.393939375877,0.272727278146,0.30303027955,0.860944777112
FT-2,1,166,9,0.203035320214,0.931428571769,0.378095218113,0.573333283152,0.435918303558,0.932396251673
FT-2,2,166,9,0.156946204603,0.948571428571,0.292571432931,0.380952360971,0.316952345712,0.927041499331
FT-2,3,166,8,0.130746802936,0.959770114943,0.459770093019,0.674329461723,0.534209010245,0.939759036145
FT-2,4,166,8,0.141683143788,0.977011494253,0.2643678065,0.227586199497,0.243933575592,0.975903614458
FT-3,0,241,55,0.576037261132,0.756756756757,0.338738745934,0.36293437191,0.324128688993,0.720709166352
FT-3,1,241,55,0.435089156434,0.831081081081,0.512998725917,0.48841699394,0.484193231608,0.831158053565
FT-3,2,240,55,0.311102616888,0.905084745763,0.67845037428,0.868926552595,0.750140312971,0.958333333333
FT-3,3,240,55,0.336220000558,0.877966101695,0.643712671328,0.82011299497,0.701082290027,0.941363636364
FT-3,4,240,55,0.317339424107,0.881355932203,0.650470814867,0.719257471521,0.680368719869,0.935151515152
FT-4,0,183,31,0.401253846761,0.859813082441,0.487538943781,0.509746320894,0.478728291587,0.838709677419
FT-4,1,183,31,0.396577750411,0.87383177403,0.668891849919,0.504984430064,0.5427680879,0.823902696986
FT-4,2,183,31,0.313210860034,0.906542057189,0.764174443539,0.526657771006,0.599376903795,0.886479816675
FT-4,3,182,31,0.239103625778,0.929577464789,0.741560483762,0.838497654373,0.763347724234,0.969691598724
FT-4,4,182,31,0.251317993226,0.934272300749,0.776101034292,0.81971831165,0.753100378972,0.942219071251
