Mode,y_true,y_false,loss,accuracy,precision,recall,fmeasure
Mixed,1045,154,0.650051529553,0.623019182677,0.211300509686,0.720939407158,0.315300576184
Focused-1,144,29,0.477941689808,0.75722543456,0.370231217732,0.539554085346,0.428851898695
Focused-2,244,19,0.308663419218,0.91254752897,0.243345978595,0.0608365019011,0.09733839724
Focused-3,351,93,0.625256264532,0.630630630631,0.328381045982,0.718918926544,0.439405201792
Focused-4,276,45,0.603271967154,0.676012461059,0.239663422665,0.537487027058,0.316813370892
FT-1,143,30,0.533128113071,0.722543354668,0.314305744505,0.48483348289,0.379142940906
FT-2,252,11,0.527712963833,0.711026616423,0.0618805800327,0.452471450708,0.106473112514
FT-3,366,78,0.595484991868,0.621621621085,0.277265800012,0.698863162651,0.381670480913
FT-4,281,40,0.552935474062,0.700934579439,0.254512403613,0.585551116325,0.347069391209
